name,industry,skills,expertise,linkedin_url,bio,experience_years
Dr. Sarah Chen,EdTech,"Curriculum Design|EdTech Product|K-12 Education|LMS Development",Learning Systems,https://www.linkedin.com/in/sarahchen-edtech,Former Google for Education lead with expertise in personalized learning systems and adaptive assessment platforms,12
Marcus Williams,EdTech,"Learning Analytics|Machine Learning|Data Science|Python",AI in Education,https://www.linkedin.com/in/marcuswilliams-ml,MIT PhD specializing in personalized learning algorithms and student performance prediction models,8
James Rodriguez,FinTech,"Banking APIs|Compliance|FinTech Strategy|Payment Systems",Financial Infrastructure,https://www.linkedin.com/in/jamesrodriguez-fintech,Ex-Stripe engineer who built payment infrastructure for 50+ startups. Expert in PCI compliance,10
Emily Zhao,FinTech,"Risk Modeling|Blockchain|Financial Engineering|DeFi",Quantitative Finance,https://www.linkedin.com/in/emilyzhao-finance,Goldman Sachs alum and advisor to 5 funded FinTech companies. Specializes in DeFi protocols,9
Dr. Priya Sharma,HealthTech,"Clinical Research|FDA Approvals|Health AI|Medical Devices",Digital Health,https://www.linkedin.com/in/priyasharma-health,Stanford Medicine researcher who co-founded 2 digital health startups. FDA regulatory expert,15
Michael Liu,HealthTech,"HIPAA Compliance|Telemedicine|Health IT|EHR Systems",Healthcare Infrastructure,https://www.linkedin.com/in/michaelliu-healthtech,15 years in healthcare IT leading digital transformation at Kaiser Permanente,15
Alex Thompson,AI,"Deep Learning|MLOps|AI Infrastructure|PyTorch",Machine Learning,https://www.linkedin.com/in/alexthompson-ai,OpenAI researcher with 20+ published papers on transformer architectures and LLM scaling,7
Dr. Nina Patel,AI,"NLP|Computer Vision|AI Ethics|Responsible AI",AI Research,https://www.linkedin.com/in/ninapatel-research,Google Brain alum focusing on responsible AI development and bias detection systems,11
David Kim,SaaS,"Product-Led Growth|B2B Sales|SaaS Metrics|Pricing Strategy",Growth Strategy,https://www.linkedin.com/in/davidkim-saas,Scaled 3 SaaS products from 0 to $10M ARR. Expert in PLG strategies and pricing optimization,9
Rachel Green,SaaS,"Enterprise Sales|Customer Success|GTM Strategy|Account Management",Enterprise Sales,https://www.linkedin.com/in/rachelgreen-enterprise,Salesforce veteran who built customer success teams for 3 unicorn startups,12
Chris Anderson,E-commerce,"Marketplace Strategy|Supply Chain|D2C Growth|Amazon FBA",E-commerce Operations,https://www.linkedin.com/in/chrisanderson-ecom,Amazon PM who helped brands scale on marketplace platforms. Multi-channel selling expert,8
Sofia Martinez,E-commerce,"Conversion Optimization|E-commerce Analytics|Shopify|CRO",Digital Commerce,https://www.linkedin.com/in/sofiamartinez-ecommerce,Grew 10+ DTC brands past $5M revenue. Shopify Plus partner and CRO specialist,7
Marco Rossi,FoodTech,"Ghost Kitchens|Food Operations|Menu Engineering|Kitchen Automation",Food Operations,https://www.linkedin.com/in/marcorossi-food,Built cloud kitchen network across 3 cities. Expert in food cost optimization,10
Lisa Wang,FoodTech,"Food Delivery Tech|Restaurant Tech|Sustainability|Logistics",Food Logistics,https://www.linkedin.com/in/lisawang-foodtech,DoorDash operations lead specializing in last-mile delivery optimization,6
Jake Sullivan,Developer Tools,"Developer Experience|API Design|Open Source|TypeScript",DevTools,https://www.linkedin.com/in/jakesullivan-dev,Vercel engineer maintaining popular open source projects. Expert in DX and developer marketing,5
Anna Kowalski,Developer Tools,"DevOps|Cloud Infrastructure|Platform Engineering|Kubernetes",Cloud Infrastructure,https://www.linkedin.com/in/annakowalski-cloud,AWS solutions architect who built platforms for Y Combinator startups. Terraform specialist,8
Tom Harris,Productivity,"Workflow Automation|No-Code|Product Design|Zapier",Automation,https://www.linkedin.com/in/tomharris-product,Notion early employee passionate about productivity tools. No-code automation expert,6
Sarah Johnson,Productivity,"UX Research|Team Collaboration|Remote Work|Async Communication",Collaboration Tools,https://www.linkedin.com/in/sarahjohnson-ux,Built collaboration features at Slack and Figma. Remote work consultant,9
Ryan Park,Communication,"Real-time Systems|WebRTC|Messaging Platforms|Distributed Systems",Real-time Infrastructure,https://www.linkedin.com/in/ryanpark-comms,Discord infrastructure engineer expert in scaling real-time communication systems,7
Michelle Brown,Communication,"Community Building|Social Features|Growth Hacking|Engagement",Community Growth,https://www.linkedin.com/in/michellebrown-social,Grew community from 0 to 1M users at social startup. Community engagement specialist,5
