industry,trend
EdTech,AI-powered personalized learning
EdTech,Microlearning and mobile-first education
EdTech,Skills-based credentials over degrees
FinTech,Embedded finance in non-financial apps
FinTech,Real-time payments and instant transfers
FinTech,AI-driven fraud detection
HealthTech,Remote patient monitoring
HealthTech,Mental health digital therapeutics
HealthTech,AI diagnostics and imaging
Productivity,AI copilots for workflows
Productivity,Async-first collaboration tools
Developer Tools,AI code generation and review
Developer Tools,Low-code/no-code platforms
AI Infrastructure,Open-source foundation models
AI Infrastructure,Edge AI deployment
AI Tools,Generative AI for creative work
AI Tools,AI agents and automation
FoodTech,Ghost kitchens and virtual brands
FoodTech,Sustainable food alternatives
E-commerce,Social commerce and live shopping
E-commerce,AI-powered recommendations
Communication,Async video messaging
Communication,AI meeting summaries
Design,AI-assisted design tools
Design,Real-time collaboration
Data,Data mesh architecture
Data,Real-time data streaming
